Request id,Pickup point,Driver id,Driver Assigned,Status,Request timestamp,Hours,Drop timestamp,Duration,Day of Week,Cateory
669,City,4,Assigned,Trip Completed,2016-07-11 13:08:00,13:08,2016-07-11 13:49:00,40,Monday,Medium
1567,Airport,4,Assigned,Trip Completed,2016-07-12 06:21:00,6:21,2016-07-12 07:10:00,49,Tuesday,Long
1826,City,4,Assigned,Trip Completed,2016-07-12 09:27:00,9:27,2016-07-12 10:27:00,59,Tuesday,Long
2102,City,4,Assigned,Trip Completed,2016-07-12 16:09:00,16:09,2016-07-12 17:01:00,51,Tuesday,Long
2847,Airport,4,Assigned,Trip Completed,2016-07-13 05:34:20,5:34,2016-07-13 06:09:59,35,Wednesday,Medium
3722,Airport,4,Assigned,Trip Completed,2016-07-13 19:57:59,19:57,2016-07-13 20:32:04,34,Wednesday,Medium
4075,City,4,Assigned,Trip Completed,2016-07-14 02:17:35,2:17,2016-07-14 03:21:38,64,Thursday,Long
4686,City,4,Assigned,Trip Completed,2016-07-14 13:01:10,13:01,2016-07-14 13:45:28,44,Thursday,Medium
5771,Airport,4,Assigned,Trip Completed,2016-07-15 08:30:06,8:30,2016-07-15 09:37:20,67,Friday,Long
6106,Airport,4,Assigned,Trip Completed,2016-07-15 15:01:20,15:01,2016-07-15 15:47:31,46,Friday,Long
312,City,5,Assigned,Trip Completed,2016-07-11 07:27:00,7:27,2016-07-11 08:31:00,63,Monday,Long
577,Airport,5,Assigned,Trip Completed,2016-07-11 11:03:00,11:03,2016-07-11 12:01:00,58,Monday,Long
1179,City,5,Assigned,Trip Completed,2016-07-11 20:58:00,20:58,2016-07-11 21:45:00,46,Monday,Long
1756,Airport,5,Assigned,Trip Completed,2016-07-12 08:40:00,8:40,2016-07-12 09:23:00,43,Tuesday,Medium
2052,City,5,Assigned,Trip Completed,2016-07-12 14:48:00,14:48,2016-07-12 15:50:00,61,Tuesday,Long
2559,City,5,Assigned,Trip Completed,2016-07-12 21:32:00,21:32,2016-07-12 22:29:00,56,Tuesday,Long
3014,City,5,Assigned,Trip Completed,2016-07-13 07:28:14,7:28,2016-07-13 08:29:47,61,Wednesday,Long
3317,City,5,Assigned,Trip Completed,2016-07-13 12:14:27,12:14,2016-07-13 12:46:38,32,Wednesday,Medium
4297,City,5,Assigned,Trip Completed,2016-07-14 06:43:01,6:43,2016-07-14 07:49:38,66,Thursday,Long
5857,Airport,5,Assigned,Trip Completed,2016-07-15 09:08:50,9:08,2016-07-15 10:07:07,58,Friday,Long
6690,Airport,5,Assigned,Trip Completed,2016-07-15 22:41:41,22:41,2016-07-15 23:51:00,69,Friday,Long
1517,Airport,6,Assigned,Trip Completed,2016-07-12 05:45:00,5:45,2016-07-12 06:28:00,42,Tuesday,Medium
1999,Airport,6,Assigned,Trip Completed,2016-07-12 13:02:00,13:02,2016-07-12 13:51:00,48,Tuesday,Long
2960,Airport,6,Assigned,Trip Completed,2016-07-13 06:50:33,6:50,2016-07-13 07:40:35,50,Wednesday,Long
3882,City,6,Assigned,Trip Completed,2016-07-13 21:53:03,21:53,2016-07-13 22:45:24,52,Wednesday,Long
4081,Airport,6,Assigned,Trip Completed,2016-07-14 02:37:14,2:37,2016-07-14 03:30:27,53,Thursday,Long
4740,City,6,Assigned,Trip Completed,2016-07-14 14:50:07,14:50,2016-07-14 15:38:14,48,Thursday,Long
5270,City,6,Assigned,Trip Completed,2016-07-14 21:33:55,21:33,2016-07-14 22:25:43,51,Thursday,Long
6758,Airport,6,Assigned,Trip Completed,2016-07-15 00:03:39,0:03,2016-07-15 01:07:39,63,Friday,Long
5741,City,6,Assigned,Trip Completed,2016-07-15 07:52:51,7:52,2016-07-15 08:38:55,46,Friday,Long
6087,Airport,6,Assigned,Trip Completed,2016-07-15 14:28:50,14:28,2016-07-15 15:33:53,65,Friday,Long
1039,City,7,Assigned,Trip Completed,2016-07-11 19:31:00,19:31,2016-07-11 20:41:00,69,Monday,Long
1273,Airport,7,Assigned,Trip Completed,2016-07-11 22:07:00,22:07,2016-07-11 23:12:00,65,Monday,Long
2480,City,7,Assigned,Trip Completed,2016-07-12 20:39:00,20:39,2016-07-12 21:28:00,48,Tuesday,Long
4105,City,7,Assigned,Trip Completed,2016-07-14 03:39:38,3:39,2016-07-14 04:39:04,59,Thursday,Long
4509,City,7,Assigned,Trip Completed,2016-07-14 09:11:13,9:11,2016-07-14 10:17:01,65,Thursday,Long
4986,Airport,7,Assigned,Trip Completed,2016-07-14 18:52:32,18:52,2016-07-14 19:50:57,58,Thursday,Long
5898,City,7,Assigned,Trip Completed,2016-07-15 09:50:28,9:50,2016-07-15 10:40:39,50,Friday,Long
6142,Airport,7,Assigned,Trip Completed,2016-07-15 15:50:15,15:50,2016-07-15 16:36:56,46,Friday,Long
380,Airport,8,Assigned,Trip Completed,2016-07-11 08:18:00,8:18,2016-07-11 09:18:00,59,Monday,Long
1050,Airport,8,Assigned,Trip Completed,2016-07-11 19:39:00,19:39,2016-07-11 20:30:00,50,Monday,Long
1769,City,8,Assigned,Trip Completed,2016-07-12 08:57:00,8:57,2016-07-12 09:24:00,27,Tuesday,Medium
2520,City,8,Assigned,Trip Completed,2016-07-12 21:05:00,21:05,2016-07-12 22:20:00,75,Tuesday,Long
3265,Airport,8,Assigned,Trip Completed,2016-07-13 10:22:07,10:22,2016-07-13 11:07:02,44,Wednesday,Medium
4648,City,8,Assigned,Trip Completed,2016-07-14 11:55:10,11:55,2016-07-14 12:59:34,64,Thursday,Long
449,Airport,9,Assigned,Trip Completed,2016-07-11 09:08:00,9:08,2016-07-11 09:52:00,43,Monday,Medium
846,Airport,9,Assigned,Trip Completed,2016-07-11 17:46:00,17:46,2016-07-11 18:52:00,66,Monday,Long
1346,Airport,9,Assigned,Trip Completed,2016-07-11 23:39:00,23:39,2016-07-12 00:23:00,43,Monday,Medium
1474,Airport,9,Assigned,Trip Completed,2016-07-12 05:13:00,5:13,2016-07-12 05:56:00,42,Tuesday,Medium
2240,City,9,Assigned,Trip Completed,2016-07-12 18:20:00,18:20,2016-07-12 18:54:00,33,Tuesday,Medium
3072,Airport,9,Assigned,Trip Completed,2016-07-13 08:04:57,8:04,2016-07-13 08:36:37,31,Wednesday,Medium
3459,Airport,9,Assigned,Trip Completed,2016-07-13 17:03:30,17:03,2016-07-13 17:31:49,28,Wednesday,Medium
3774,Airport,9,Assigned,Trip Completed,2016-07-13 20:41:24,20:41,2016-07-13 21:27:29,46,Wednesday,Long
4023,City,9,Assigned,Trip Completed,2016-07-13 23:58:41,23:58,2016-07-14 00:58:39,59,Wednesday,Long
4117,City,9,Assigned,Trip Completed,2016-07-14 04:21:42,4:21,2016-07-14 05:07:07,45,Thursday,Medium
4880,Airport,9,Assigned,Trip Completed,2016-07-14 17:58:46,17:58,2016-07-14 19:02:42,63,Thursday,Long
5568,Airport,9,Assigned,Trip Completed,2016-07-15 05:47:49,5:47,2016-07-15 06:25:49,37,Friday,Medium
5994,Airport,9,Assigned,Trip Completed,2016-07-15 11:51:16,11:51,2016-07-15 12:32:12,40,Friday,Medium
1809,Airport,10,Assigned,Trip Completed,2016-07-12 09:13:00,9:13,2016-07-12 10:01:00,47,Tuesday,Long
2064,Airport,10,Assigned,Trip Completed,2016-07-12 15:08:00,15:08,2016-07-12 16:14:00,65,Tuesday,Long
3210,City,10,Assigned,Trip Completed,2016-07-13 09:47:06,9:47,2016-07-13 10:52:37,65,Wednesday,Long
4350,City,10,Assigned,Trip Completed,2016-07-14 07:24:43,7:24,2016-07-14 08:22:09,57,Thursday,Long
4713,City,10,Assigned,Trip Completed,2016-07-14 13:31:24,13:31,2016-07-14 14:10:56,39,Thursday,Medium
5629,Airport,10,Assigned,Trip Completed,2016-07-15 06:33:00,6:33,2016-07-15 07:19:53,46,Friday,Long
6157,Airport,10,Assigned,Trip Completed,2016-07-15 16:32:51,16:32,2016-07-15 17:44:44,71,Friday,Long
2030,City,11,Assigned,Trip Completed,2016-07-12 14:11:00,14:11,2016-07-12 15:02:00,50,Tuesday,Long
3226,City,11,Assigned,Trip Completed,2016-07-13 10:00:17,10:00,2016-07-13 11:02:52,62,Wednesday,Long
3353,City,11,Assigned,Trip Completed,2016-07-13 13:29:44,13:29,2016-07-13 14:09:00,39,Wednesday,Medium
4293,City,11,Assigned,Trip Completed,2016-07-14 06:42:36,6:42,2016-07-14 07:12:41,30,Thursday,Medium
4936,City,11,Assigned,Trip Completed,2016-07-14 18:22:17,18:22,2016-07-14 19:14:36,52,Thursday,Long
5661,Airport,11,Assigned,Trip Completed,2016-07-15 07:08:50,7:08,2016-07-15 07:59:00,50,Friday,Long
5778,City,11,Assigned,Trip Completed,2016-07-15 08:22:03,8:22,2016-07-15 09:13:04,51,Friday,Long
6425,Airport,11,Assigned,Trip Completed,2016-07-15 19:46:40,19:46,2016-07-15 20:26:51,40,Friday,Medium
45,Airport,12,Assigned,Trip Completed,2016-07-11 03:17:00,3:17,2016-07-11 04:09:00,52,Monday,Long
264,City,12,Assigned,Trip Completed,2016-07-11 06:51:00,6:51,2016-07-11 07:40:00,49,Monday,Long
1183,City,12,Assigned,Trip Completed,2016-07-11 21:05:00,21:05,2016-07-11 21:38:00,33,Monday,Medium
1536,Airport,12,Assigned,Trip Completed,2016-07-12 05:59:00,5:59,2016-07-12 06:59:00,60,Tuesday,Long
2437,City,12,Assigned,Trip Completed,2016-07-12 20:18:00,20:18,2016-07-12 21:26:00,68,Tuesday,Long
2641,Airport,12,Assigned,Trip Completed,2016-07-12 22:28:00,22:28,2016-07-12 23:05:00,36,Tuesday,Medium
4077,Airport,12,Assigned,Trip Completed,2016-07-14 02:14:15,2:14,2016-07-14 03:13:09,58,Thursday,Long
4610,City,12,Assigned,Trip Completed,2016-07-14 10:35:14,10:35,2016-07-14 11:39:01,63,Thursday,Long
5066,Airport,12,Assigned,Trip Completed,2016-07-14 19:31:20,19:31,2016-07-14 20:14:03,42,Thursday,Medium
5666,Airport,12,Assigned,Trip Completed,2016-07-15 07:04:55,7:04,2016-07-15 08:12:37,67,Friday,Long
5923,City,12,Assigned,Trip Completed,2016-07-15 10:07:49,10:07,2016-07-15 10:50:50,43,Friday,Medium
6367,City,12,Assigned,Trip Completed,2016-07-15 19:04:46,19:04,2016-07-15 19:46:04,41,Friday,Medium
155,City,13,Assigned,Trip Completed,2016-07-11 05:32:00,5:32,2016-07-11 06:28:00,55,Monday,Long
310,Airport,13,Assigned,Trip Completed,2016-07-11 07:24:00,7:24,2016-07-11 08:28:00,63,Monday,Long
607,City,13,Assigned,Trip Completed,2016-07-11 11:51:00,11:51,2016-07-11 12:42:00,50,Monday,Long
1012,City,13,Assigned,Trip Completed,2016-07-11 19:15:00,19:15,2016-07-11 19:57:00,42,Monday,Medium
1696,Airport,13,Assigned,Trip Completed,2016-07-12 08:01:00,8:01,2016-07-12 08:42:00,41,Tuesday,Medium
3076,City,13,Assigned,Trip Completed,2016-07-13 08:09:04,8:09,2016-07-13 09:12:19,63,Wednesday,Long
4198,Airport,13,Assigned,Trip Completed,2016-07-14 05:32:14,5:32,2016-07-14 06:45:32,73,Thursday,Long
4627,City,13,Assigned,Trip Completed,2016-07-14 11:13:19,11:13,2016-07-14 12:00:12,46,Thursday,Long
5289,City,13,Assigned,Trip Completed,2016-07-14 21:43:24,21:43,2016-07-14 22:24:13,40,Thursday,Medium
5495,Airport,13,Assigned,Trip Completed,2016-07-15 05:00:13,5:00,2016-07-15 06:02:27,62,Friday,Long
6656,Airport,13,Assigned,Trip Completed,2016-07-15 22:08:42,22:08,2016-07-15 22:41:18,32,Friday,Medium
139,Airport,14,Assigned,Trip Completed,2016-07-11 05:21:00,5:21,2016-07-11 06:09:00,47,Monday,Long
215,City,14,Assigned,Trip Completed,2016-07-11 06:15:00,6:15,2016-07-11 07:07:00,52,Monday,Long
1816,City,14,Assigned,Trip Completed,2016-07-12 09:24:00,9:24,2016-07-12 10:07:00,42,Tuesday,Medium
2505,Airport,14,Assigned,Trip Completed,2016-07-12 21:03:00,21:03,2016-07-12 22:14:00,71,Tuesday,Long
3346,City,14,Assigned,Trip Completed,2016-07-13 13:01:42,13:01,2016-07-13 13:55:59,54,Wednesday,Long
5294,City,14,Assigned,Trip Completed,2016-07-14 21:45:50,21:45,2016-07-14 22:16:40,30,Thursday,Medium
6226,Airport,14,Assigned,Trip Completed,2016-07-15 17:34:25,17:34,2016-07-15 18:33:13,58,Friday,Long
6733,Airport,14,Assigned,Trip Completed,2016-07-15 23:32:44,23:32,2016-07-16 00:37:46,65,Friday,Long
1027,Airport,15,Assigned,Trip Completed,2016-07-11 19:18:00,19:18,2016-07-11 20:24:00,65,Monday,Long
2675,Airport,15,Assigned,Trip Completed,2016-07-12 23:43:00,23:43,2016-07-13 00:35:12,52,Tuesday,Long
3200,City,15,Assigned,Trip Completed,2016-07-13 09:39:44,9:39,2016-07-13 10:30:58,51,Wednesday,Long
3865,City,15,Assigned,Trip Completed,2016-07-13 21:52:05,21:52,2016-07-13 22:21:15,29,Wednesday,Medium
4468,City,15,Assigned,Trip Completed,2016-07-14 08:42:46,8:42,2016-07-14 09:22:01,39,Thursday,Medium
5163,Airport,15,Assigned,Trip Completed,2016-07-14 20:34:30,20:34,2016-07-14 21:05:18,30,Thursday,Medium
6009,City,15,Assigned,Trip Completed,2016-07-15 12:22:35,12:22,2016-07-15 13:25:27,62,Friday,Long
6448,Airport,15,Assigned,Trip Completed,2016-07-15 20:02:54,20:02,2016-07-15 20:40:45,37,Friday,Medium
591,City,16,Assigned,Trip Completed,2016-07-11 11:25:00,11:25,2016-07-11 12:31:00,65,Monday,Long
709,City,16,Assigned,Trip Completed,2016-07-11 14:16:00,14:16,2016-07-11 15:03:00,46,Monday,Long
1167,Airport,16,Assigned,Trip Completed,2016-07-11 20:50:00,20:50,2016-07-11 21:52:00,62,Monday,Long
2661,Airport,16,Assigned,Trip Completed,2016-07-12 23:23:00,23:23,2016-07-13 00:27:21,64,Tuesday,Long
2808,City,16,Assigned,Trip Completed,2016-07-13 05:05:16,5:05,2016-07-13 05:56:11,50,Wednesday,Long
3258,Airport,16,Assigned,Trip Completed,2016-07-13 10:12:51,10:12,2016-07-13 10:45:28,32,Wednesday,Medium
3413,Airport,16,Assigned,Trip Completed,2016-07-13 15:32:01,15:32,2016-07-13 16:45:44,73,Wednesday,Long
3939,Airport,16,Assigned,Trip Completed,2016-07-13 22:26:26,22:26,2016-07-13 22:55:54,29,Wednesday,Medium
4125,City,16,Assigned,Trip Completed,2016-07-14 04:37:11,4:37,2016-07-14 05:46:29,69,Thursday,Long
4457,City,16,Assigned,Trip Completed,2016-07-14 08:36:24,8:36,2016-07-14 09:19:20,42,Thursday,Medium
4728,City,16,Assigned,Trip Completed,2016-07-14 14:04:13,14:04,2016-07-14 15:06:40,62,Thursday,Long
5347,Airport,16,Assigned,Trip Completed,2016-07-14 22:51:47,22:51,2016-07-14 23:53:42,61,Thursday,Long
6147,City,16,Assigned,Trip Completed,2016-07-15 16:11:02,16:11,2016-07-15 17:30:08,79,Friday,Long
6496,Airport,16,Assigned,Trip Completed,2016-07-15 20:33:00,20:33,2016-07-15 21:32:49,59,Friday,Long
634,City,17,Assigned,Trip Completed,2016-07-11 12:25:00,12:25,2016-07-11 13:06:00,40,Monday,Medium
939,Airport,17,Assigned,Trip Completed,2016-07-11 18:25:00,18:25,2016-07-11 19:26:00,60,Monday,Long
2628,Airport,17,Assigned,Trip Completed,2016-07-12 22:10:00,22:10,2016-07-12 23:25:00,75,Tuesday,Long
3021,City,17,Assigned,Trip Completed,2016-07-13 07:33:20,7:33,2016-07-13 08:26:07,52,Wednesday,Long
4743,City,17,Assigned,Trip Completed,2016-07-14 14:54:16,14:54,2016-07-14 15:39:03,44,Thursday,Medium
4981,City,17,Assigned,Trip Completed,2016-07-14 18:47:42,18:47,2016-07-14 19:43:44,56,Thursday,Long
5367,Airport,17,Assigned,Trip Completed,2016-07-14 23:35:34,23:35,2016-07-15 00:25:26,49,Thursday,Long
5471,Airport,17,Assigned,Trip Completed,2016-07-15 04:48:57,4:48,2016-07-15 05:47:13,58,Friday,Long
5988,Airport,17,Assigned,Trip Completed,2016-07-15 11:48:32,11:48,2016-07-15 12:55:02,66,Friday,Long
6477,Airport,17,Assigned,Trip Completed,2016-07-15 20:21:26,20:21,2016-07-15 21:00:31,39,Friday,Medium
499,City,18,Assigned,Trip Completed,2016-07-11 09:39:00,9:39,2016-07-11 10:16:00,36,Monday,Medium
1147,Airport,18,Assigned,Trip Completed,2016-07-11 20:42:00,20:42,2016-07-11 21:18:00,35,Monday,Medium
1410,Airport,18,Assigned,Trip Completed,2016-07-12 03:14:00,3:14,2016-07-12 04:27:00,72,Tuesday,Long
1804,Airport,18,Assigned,Trip Completed,2016-07-12 09:12:00,9:12,2016-07-12 09:57:00,45,Tuesday,Medium
1949,Airport,18,Assigned,Trip Completed,2016-07-12 11:32:00,11:32,2016-07-12 12:13:00,40,Tuesday,Medium
2713,City,18,Assigned,Trip Completed,2016-07-13 01:46:42,1:46,2016-07-13 02:37:08,50,Wednesday,Long
2845,City,18,Assigned,Trip Completed,2016-07-13 05:28:29,5:28,2016-07-13 06:10:40,42,Wednesday,Medium
3943,Airport,18,Assigned,Trip Completed,2016-07-13 22:35:38,22:35,2016-07-13 23:33:20,57,Wednesday,Long
4792,City,18,Assigned,Trip Completed,2016-07-14 16:47:15,16:47,2016-07-14 17:34:39,47,Thursday,Long
5207,Airport,18,Assigned,Trip Completed,2016-07-14 20:57:41,20:57,2016-07-14 21:56:21,58,Thursday,Long
5890,City,18,Assigned,Trip Completed,2016-07-15 09:43:57,9:43,2016-07-15 10:55:22,71,Friday,Long
494,City,19,Assigned,Trip Completed,2016-07-11 09:36:00,9:36,2016-07-11 10:02:00,26,Monday,Medium
1485,City,19,Assigned,Trip Completed,2016-07-12 05:21:00,5:21,2016-07-12 06:35:00,74,Tuesday,Long
2042,City,19,Assigned,Trip Completed,2016-07-12 14:30:00,14:30,2016-07-12 15:09:00,39,Tuesday,Medium
2561,Airport,19,Assigned,Trip Completed,2016-07-12 21:29:00,21:29,2016-07-12 22:44:00,75,Tuesday,Long
3813,Airport,19,Assigned,Trip Completed,2016-07-13 21:06:57,21:06,2016-07-13 21:46:24,39,Wednesday,Medium
4260,Airport,19,Assigned,Trip Completed,2016-07-14 06:11:51,6:11,2016-07-14 06:59:46,47,Thursday,Long
4395,City,19,Assigned,Trip Completed,2016-07-14 08:00:15,8:00,2016-07-14 08:54:39,54,Thursday,Long
5919,City,19,Assigned,Trip Completed,2016-07-15 10:03:42,10:03,2016-07-15 10:59:27,55,Friday,Long
6002,Airport,19,Assigned,Trip Completed,2016-07-15 12:04:15,12:04,2016-07-15 12:53:36,49,Friday,Long
468,City,20,Assigned,Trip Completed,2016-07-11 09:20:00,9:20,2016-07-11 10:05:00,45,Monday,Medium
693,Airport,20,Assigned,Trip Completed,2016-07-11 13:51:00,13:51,2016-07-11 15:01:00,70,Monday,Long
1178,City,20,Assigned,Trip Completed,2016-07-11 21:05:00,21:05,2016-07-11 22:06:00,60,Monday,Long
2103,City,20,Assigned,Trip Completed,2016-07-12 16:08:00,16:08,2016-07-12 17:18:00,69,Tuesday,Long
2292,Airport,20,Assigned,Trip Completed,2016-07-12 18:46:00,18:46,2016-07-12 19:23:00,36,Tuesday,Medium
3339,City,20,Assigned,Trip Completed,2016-07-13 12:40:58,12:40,2016-07-13 13:30:26,49,Wednesday,Long
3694,City,20,Assigned,Trip Completed,2016-07-13 19:33:19,19:33,2016-07-13 20:35:08,61,Wednesday,Long
4469,City,20,Assigned,Trip Completed,2016-07-14 08:45:13,8:45,2016-07-14 09:48:08,62,Thursday,Long
6432,City,20,Assigned,Trip Completed,2016-07-15 19:50:57,19:50,2016-07-15 20:30:05,39,Friday,Medium
1895,City,21,Assigned,Trip Completed,2016-07-12 10:20:00,10:20,2016-07-12 10:52:00,31,Tuesday,Medium
1981,Airport,21,Assigned,Trip Completed,2016-07-12 12:23:00,12:23,2016-07-12 12:56:00,33,Tuesday,Medium
3744,Airport,21,Assigned,Trip Completed,2016-07-13 20:28:11,20:28,2016-07-13 21:22:42,54,Wednesday,Long
4433,Airport,21,Assigned,Trip Completed,2016-07-14 08:26:32,8:26,2016-07-14 09:12:02,45,Thursday,Medium
6039,Airport,21,Assigned,Trip Completed,2016-07-15 13:11:04,13:11,2016-07-15 13:38:01,26,Friday,Medium
6543,City,21,Assigned,Trip Completed,2016-07-15 20:54:20,20:54,2016-07-15 22:12:36,78,Friday,Long
110,City,22,Assigned,Trip Completed,2016-07-11 05:05:00,5:05,2016-07-11 06:06:00,60,Monday,Long
362,City,22,Assigned,Trip Completed,2016-07-11 08:01:00,8:01,2016-07-11 09:18:00,76,Monday,Long
666,Airport,22,Assigned,Trip Completed,2016-07-11 13:02:00,13:02,2016-07-11 13:45:00,42,Monday,Medium
926,City,22,Assigned,Trip Completed,2016-07-11 18:28:00,18:28,2016-07-11 19:34:00,66,Monday,Long
1180,Airport,22,Assigned,Trip Completed,2016-07-11 21:01:00,21:01,2016-07-11 22:14:00,72,Monday,Long
1900,City,22,Assigned,Trip Completed,2016-07-12 10:32:00,10:32,2016-07-12 11:42:00,70,Tuesday,Long
2506,City,22,Assigned,Trip Completed,2016-07-12 21:01:00,21:01,2016-07-12 21:38:00,36,Tuesday,Medium
3064,City,22,Assigned,Trip Completed,2016-07-13 08:02:03,8:02,2016-07-13 08:58:46,56,Wednesday,Long
3327,Airport,22,Assigned,Trip Completed,2016-07-13 12:24:41,12:24,2016-07-13 13:23:39,58,Wednesday,Long
3601,City,22,Assigned,Trip Completed,2016-07-13 18:39:00,18:39,2016-07-13 19:29:07,50,Wednesday,Long
4768,Airport,22,Assigned,Trip Completed,2016-07-14 15:39:24,15:39,2016-07-14 16:49:03,69,Thursday,Long
5142,City,22,Assigned,Trip Completed,2016-07-14 20:17:51,20:17,2016-07-14 20:48:58,31,Thursday,Medium
5366,Airport,22,Assigned,Trip Completed,2016-07-14 23:27:22,23:27,2016-07-15 00:19:50,52,Thursday,Long
5575,City,22,Assigned,Trip Completed,2016-07-15 05:53:55,5:53,2016-07-15 06:50:02,56,Friday,Long
5902,City,22,Assigned,Trip Completed,2016-07-15 09:52:57,9:52,2016-07-15 10:37:05,44,Friday,Medium
6694,Airport,22,Assigned,Trip Completed,2016-07-15 22:45:44,22:45,2016-07-15 23:17:53,32,Friday,Medium
523,Airport,23,Assigned,Trip Completed,2016-07-11 09:48:00,9:48,2016-07-11 10:37:00,49,Monday,Long
747,City,23,Assigned,Trip Completed,2016-07-11 15:53:00,15:53,2016-07-11 16:43:00,49,Monday,Long
1371,Airport,23,Assigned,Trip Completed,2016-07-12 00:22:00,0:22,2016-07-12 01:33:00,71,Tuesday,Long
1553,City,23,Assigned,Trip Completed,2016-07-12 06:09:00,6:09,2016-07-12 07:09:00,60,Tuesday,Long
1692,Airport,23,Assigned,Trip Completed,2016-07-12 07:52:00,7:52,2016-07-12 09:01:00,69,Tuesday,Long
2114,City,23,Assigned,Trip Completed,2016-07-12 16:36:00,16:36,2016-07-12 17:21:00,45,Tuesday,Medium
2742,City,23,Assigned,Trip Completed,2016-07-13 03:07:37,3:07,2016-07-13 03:51:35,43,Wednesday,Medium
4273,City,23,Assigned,Trip Completed,2016-07-14 06:17:01,6:17,2016-07-14 07:02:28,45,Thursday,Medium
4668,City,23,Assigned,Trip Completed,2016-07-14 12:25:02,12:25,2016-07-14 13:34:58,69,Thursday,Long
5425,City,23,Assigned,Trip Completed,2016-07-15 02:23:56,2:23,2016-07-15 03:08:35,44,Friday,Medium
5488,City,23,Assigned,Trip Completed,2016-07-15 04:53:42,4:53,2016-07-15 06:00:16,66,Friday,Long
5781,City,23,Assigned,Trip Completed,2016-07-15 08:35:47,8:35,2016-07-15 09:42:27,66,Friday,Long
5966,Airport,23,Assigned,Trip Completed,2016-07-15 10:54:27,10:54,2016-07-15 11:58:44,64,Friday,Long
6122,City,23,Assigned,Trip Completed,2016-07-15 15:26:06,15:26,2016-07-15 16:29:40,63,Friday,Long
357,Airport,24,Assigned,Trip Completed,2016-07-11 08:00:00,8:00,2016-07-11 09:08:00,68,Monday,Long
